Sector,Ticket type,Year,Fare_Index,YoY_Change,Cumulative_Inflation
Long distance,All tickets,2022,195.261869143311,6.080929824034776,95.261869143311
Long distance,All tickets,2023,206.86469954838392,5.942189561115545,106.86469954838392
Long distance,All tickets,2024,215.64862025267473,4.2462153878682045,115.64862025267473
Long distance,All tickets,2025,227.24746424740877,5.378584839144213,127.24746424740877
Long distance,Anytime,2004,100,NA,0
Long distance,Anytime,2005,105.109370289428,5.109370289428,5.109370289428
Long distance,Anytime,2006,115.814964903803,10.185195273167553,15.814964903803002
Long distance,Anytime,2007,125.089644924529,8.008187912874327,25.089644924528997
Long distance,Anytime,2008,135.049228097908,7.961956546753318,35.04922809790801
Long distance,Anytime,2009,148.003213723674,9.59204714326439,48.00321372367401
Long distance,Anytime,2010,152.247950949115,2.868003416037995,52.247950949114994
Long distance,Anytime,2011,160.443122560168,5.382779577632569,60.44312256016801
Long distance,Anytime,2012,170.399322111062,6.205438657652836,70.39932211106199
Long distance,Anytime,2013,176.437282635514,3.5434181601477426,76.43728263551401
Long distance,Anytime,2014,181.194702516296,2.696380158274093,81.19470251629599
Long distance,Anytime,2015,183.186202410677,1.0990938844925113,83.186202410677
Long distance,Anytime,2016,184.734252269525,0.8450690272936054,84.734252269525
Long distance,Anytime,2017,190.524849038898,3.134555015235933,90.524849038898
Long distance,Anytime,2018,196.01861309764,2.883489521947028,96.01861309764001
Long distance,Anytime,2019,201.709076343654,2.9030218896505913,101.709076343654
Long distance,Anytime,2020,207.332369513573,2.7878235684043,107.33236951357301
Long distance,Anytime,2021,212.841099699182,2.656956170680504,112.841099699182
Long distance,Anytime,2022,219.509723408039,3.1331466142028406,119.50972340803901
Long distance,Anytime,2023,230.0474726409571,4.800584260830138,130.0474726409571
Long distance,Anytime,2024,240.04738167056345,4.346889324541094,140.04738167056345
Long distance,Anytime,2025,250.2893367855084,4.266638962553157,150.2893367855084
Long distance,Off Peak,2004,100,NA,0
Long distance,Off Peak,2005,104.172553202195,4.1725532021950045,4.1725532021950045
Long distance,Off Peak,2006,110.921472528378,6.478596442849588,10.921472528378004
Long distance,Off Peak,2007,114.992063738078,3.669795502091431,14.992063738078002
Long distance,Off Peak,2008,120.205174571891,4.53345271347344,20.205174571891007
Long distance,Off Peak,2009,128.598319036676,6.982348717247039,28.598319036676003
Long distance,Off Peak,2010,129.936576470471,1.0406492431781624,29.93657647047101
Long distance,Off Peak,2011,137.981591837877,6.191494024189779,37.981591837877005
Long distance,Off Peak,2012,146.816398182215,6.4028876799149845,46.81639818221501
Long distance,Off Peak,2013,153.063353556098,4.254943896750451,53.06335355609801
Long distance,Off Peak,2014,157.097177903063,2.6353952485998464,57.097177903063
Long distance,Off Peak,2015,159.219845876587,1.3511814800605668,59.21984587658699
Long distance,Off Peak,2016,161.232120317837,1.2638339336226652,61.232120317837
Long distance,Off Peak,2017,165.099167554629,2.3984347716626666,65.09916755462899
Long distance,Off Peak,2018,172.036006749351,4.20161972798967,72.036006749351
Long distance,Off Peak,2019,176.863429309194,2.80605359950975,76.863429309194
Long distance,Off Peak,2020,181.843778284936,2.8159292145327113,81.84377828493601
Long distance,Off Peak,2021,178.788270662911,-1.6802926395629798,78.788270662911
